G:U	716	H/H	cis-W/W	2
U:G	594	H/H	cis-W/W	2
G:A	537	H/H	trans-S/H	3
G:U	440	H/H	cis-W/W	3
A:G	429	H/H	trans-H/S	3
U:G	406	H/H	cis-W/W	3
U:G	297	H_qe/H	cis-W/W	2
C:G	262	H/H	cis-W/W	2
G:C	259	H/H	cis-W/W	2
G:A	250	H_e/H_e	trans-S/H	2
U:U	239	H/H	cis-W/W	2
A:U	205	H/H_qe	trans-H/W	2
G:A	199	H_e/H_e	trans-W/H	3
A:G	161	H/H_qe	trans-H/S	3
U:A	136	H_qe/H	trans-W/H	2
U:A	135	H_qe/H_qe	trans-W/H	2
U:A	133	H/H_i	trans-W/H	2
G:A	126	H_e/H_e	trans-S/H	3
U:G	125	H/H_qe	cis-W/W	2
C:C	122	H/H	cis-W/W	2
C:C	111	H/H	cis-W/W	1
U:A	109	H/H	cis-W/W	1
G:A	107	H_qe/H_qe	trans-S/H	3
A:U	106	H_qe/H_qe	trans-H/W	2
A:G	104	H_qe/H	trans-H/S	3
U:U	103	H/H_qe	cis-W/W	2
A:U	100	H/H	cis-W/W	1
A:A	100	H/H_qe	trans-H/H	3
G:U	99	H_qe/H	cis-W/W	2
G:A	97	H_qe/H	trans-S/H	3
A:G	94	H/H_qe	cis-W/W	2
A:G	90	H_e/H_e	NA	3
A:G	86	H_qe/H_qe	trans-H/S	3
U:G	79	H_e/H_e	cis-W/W	2
U:G	78	H/H_qe	cis-W/W	3
G:U	78	H/H_qe	cis-W/W	2
A:C	75	H/H_qe	cis-W/W	1
C:G	72	H/H	cis-W/W	3
G:A	67	H_e/H_ie	NA	2
C:G	62	H/H_qe	cis-W/W	2
A:A	59	H/H	trans-H/S	2
U:G	57	H_e/H_ie	trans-S/W	2
A:A	57	H_qe/H	trans-H/H	3
G:C	56	H/H	cis-W/W	3
G:U	55	H_qe/H	cis-W/W	3
G:A	55	H_e/H_e	NA	2
A:A	55	H_qe/H_i	trans-W/W	2
G:U	53	H/H_qe	cis-W/W	3
U:G	52	H_qe/H	cis-W/W	3
U:A	52	H_e/H_ie	trans-W/H	2
C:G	52	H_e/H_e	cis-W/W	2
A:C	52	H/H	cis-W/W	1
U:G	50	H_e/H_e	trans-S/W	2
G:A	50	H/H	NA	3
C:G	50	H/H	cis-W/W	4
A:C	50	H/H	trans-H/W	3
U:U	49	H_qe/H	cis-W/W	2
C:G	48	H/H_i	NA	2
U:A	47	H/H	NA	1
G:C	47	H/H	cis-W/W	1
G:A	45	H/H_qe	trans-S/H	3
C:U	45	H/H	cis-W/W	1
U:C	44	H/H	cis-W/W	1
G:C	44	H_qe/H	cis-W/W	2
G:C	44	H_e/H_ie	trans-W/W	2
A:U	44	H_qe/H	trans-H/W	2
C:A	43	H/H	NA	2
A:U	43	H/H_qe	cis-W/W	1
U:A	42	H/H_i	cis-W/H	2
A:U	42	H_i/H	trans-H/W	2
